Order Number,Stop Number,Name,Address,Start,End,Duration,Driver,Mobile Phone,Email,Load,Order Total,Vendor Name,Vendor Code,Delivery Type,Category,Notes 1,Notes 2,Notes 3,Address Check,Created On,Schedule,Holiday Schedule,Fulfillment Location,Stop Code,Stop Type
,0,-- START DEPOT --,"2275 E 55th St, Cleveland, OH 44103",03:36,,,,,,,,SNAP,100,Frozen,Depot,Load-out 12 segregated school stacks,,,Valid,2026-08-21,Wed only,,SNAP 2275 E 55th St,3,Depot Pickup
TPS124,1,124 Hawkins Elementary,"5550 W Bancroft St, Toledo, OH 43615",07:00,07:20,20,TBD,,,9,,SNAP,100,Frozen,School,Est 232 meals @75% of 310 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=5550%20W%20Bancroft%20St%2C%20Toledo%2C%20OH%2043615,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS213,2,213 McTigue Elementary,"5555 Nebraska Ave, Toledo, OH 43615",07:26,07:46,20,TBD,,,14,,SNAP,100,Frozen,School,Est 414 meals @75% of 552 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=5555%20Nebraska%20Ave%2C%20Toledo%2C%20OH%2043615,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS149,3,149 Reynolds Elementary,"5000 Norwich Rd, Toledo, OH 43615",07:49,08:09,20,TBD,,,9,,SNAP,100,Frozen,School,Est 252 meals @75% of 336 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=5000%20Norwich%20Rd%2C%20Toledo%2C%20OH%2043615,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS127,4,127 Keyser Elementary,"3900 Hill Ave, Toledo, OH 43607",08:16,08:36,20,TBD,,,9,,SNAP,100,Frozen,School,Est 230 meals @75% of 306 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=3900%20Hill%20Ave%2C%20Toledo%2C%20OH%2043607,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS117,5,117 Escuela SMART Academy,"617 Western Ave, Toledo, OH 43609",08:46,09:06,20,TBD,,,9,,SNAP,100,Frozen,School,Est 215 meals @75% of 287 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=617%20Western%20Ave%2C%20Toledo%2C%20OH%2043609,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS136,6,136 Marshall STEMM Academy,"415 Colburn St, Toledo, OH 43609",09:07,09:27,20,TBD,,,9,,SNAP,100,Frozen,School,Est 274 meals @75% of 366 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=415%20Colburn%20St%2C%20Toledo%2C%20OH%2043609,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS100,7,100 Arlington Elementary,"707 Woodsdale Ave, Toledo, OH 43609",09:29,09:49,20,TBD,,,9,,SNAP,100,Frozen,School,Est 229 meals @75% of 305 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=707%20Woodsdale%20Ave%2C%20Toledo%2C%20OH%2043609,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS104,8,104 Burroughs Elementary,"2420 South Ave, Toledo, OH 43609",09:50,10:10,20,TBD,,,9,,SNAP,100,Frozen,School,Est 232 meals @75% of 310 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=2420%20South%20Ave%2C%20Toledo%2C%20OH%2043609,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS182,9,182 Glendale-Feilbach Elementary,"2317 Cass Rd, Toledo, OH 43614",10:13,10:33,20,TBD,,,9,,SNAP,100,Frozen,School,Est 251 meals @75% of 335 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=2317%20Cass%20Rd%2C%20Toledo%2C%20OH%2043614,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS102,10,102 Beverly Elementary,"3548 S Detroit Ave, Toledo, OH 43614",10:35,10:55,20,TBD,,,14,,SNAP,100,Frozen,School,Est 418 meals @75% of 557 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=3548%20S%20Detroit%20Ave%2C%20Toledo%2C%20OH%2043614,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS217,11,217 Byrnedale Elementary,"3635 Glendale Ave, Toledo, OH 43614",10:56,11:16,20,TBD,,,9,,SNAP,100,Frozen,School,Est 237 meals @75% of 316 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=3635%20Glendale%20Ave%2C%20Toledo%2C%20OH%2043614,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
TPS113,12,113 Crossgates Preschool Center,"3901 Shadylawn Dr, Toledo, OH 43614",11:19,11:39,20,TBD,,,9,,SNAP,100,Frozen,School,Est 246 meals @75% of 328 enr,"Frozen cases - segregated stack, POD photo required",https://www.google.com/maps/search/?api=1&query=3901%20Shadylawn%20Dr%2C%20Toledo%2C%20OH%2043614,Verify,2026-08-21,Wed 8/26 only,,SNAP 2275 E 55th St,6,Customer Delivery
