business Name	Address	Notes 1 Text instruction	Notes 2 Google Maps Sat View	Notes 3 Google Street	Time Start	Time End	Meal Count	Case Count	Pallet Count	Total Volume
124 Hawkins Elementary	5550 W Bancroft St, Toledo, OH 43615	Stop 1 of 12. Arrive 07:00, depart 07:20 - 20 min service. 21 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 232 meals at 75% of 310 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone (419) 671-1550. Renamed Hawkins STEMM Academy on TPS site. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=5550%20W%20Bancroft%20St%2C%20Toledo%2C%20OH%2043615&basemap=satellite	https://www.google.com/maps?q=5550%20W%20Bancroft%20St%2C%20Toledo%2C%20OH%2043615&layer=c	07:00	07:20	232	21	1	21 cu ft
213 McTigue Elementary	5555 Nebraska Ave, Toledo, OH 43615	Stop 2 of 12. Arrive 07:26, depart 07:46 - 20 min service. 38 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 414 meals at 75% of 552 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone not on file - request from BJ. Largest drop with Beverly - 38 cases. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=5555%20Nebraska%20Ave%2C%20Toledo%2C%20OH%2043615&basemap=satellite	https://www.google.com/maps?q=5555%20Nebraska%20Ave%2C%20Toledo%2C%20OH%2043615&layer=c	07:26	07:46	414	38	1	38 cu ft
149 Reynolds Elementary	5000 Norwich Rd, Toledo, OH 43615	Stop 3 of 12. Arrive 07:49, depart 08:09 - 20 min service. 23 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 252 meals at 75% of 336 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone not on file - request from BJ. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=5000%20Norwich%20Rd%2C%20Toledo%2C%20OH%2043615&basemap=satellite	https://www.google.com/maps?q=5000%20Norwich%20Rd%2C%20Toledo%2C%20OH%2043615&layer=c	07:49	08:09	252	23	1	23 cu ft
127 Keyser Elementary	3900 Hill Ave, Toledo, OH 43607	Stop 4 of 12. Arrive 08:16, depart 08:36 - 20 min service. 21 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 230 meals at 75% of 306 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone not on file - request from BJ. Only 43607 stop - bridges west and south clusters. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=3900%20Hill%20Ave%2C%20Toledo%2C%20OH%2043607&basemap=satellite	https://www.google.com/maps?q=3900%20Hill%20Ave%2C%20Toledo%2C%20OH%2043607&layer=c	08:16	08:36	230	21	1	21 cu ft
104 Burroughs Elementary	2420 South Ave, Toledo, OH 43609	Stop 8 of 12. Arrive 09:50, depart 10:10 - 20 min service. 21 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 232 meals at 75% of 310 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone not on file - request from BJ. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=2420%20South%20Ave%2C%20Toledo%2C%20OH%2043609&basemap=satellite	https://www.google.com/maps?q=2420%20South%20Ave%2C%20Toledo%2C%20OH%2043609&layer=c	09:50	10:10	232	21	1	21 cu ft
117 Escuela SMART Academy	617 Western Ave, Toledo, OH 43609	Stop 5 of 12. Arrive 08:46, depart 09:06 - 20 min service. 20 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 215 meals at 75% of 287 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone not on file - request from BJ. Smallest drop - 20 cases. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=617%20Western%20Ave%2C%20Toledo%2C%20OH%2043609&basemap=satellite	https://www.google.com/maps?q=617%20Western%20Ave%2C%20Toledo%2C%20OH%2043609&layer=c	08:46	09:06	215	20	1	20 cu ft
136 Marshall Elementary	415 Colburn St, Toledo, OH 43609	Stop 6 of 12. Arrive 09:07, depart 09:27 - 20 min service. 25 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 274 meals at 75% of 366 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone (419) 671-5700. Renamed Marshall STEMM Academy on TPS site. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=415%20Colburn%20St%2C%20Toledo%2C%20OH%2043609&basemap=satellite	https://www.google.com/maps?q=415%20Colburn%20St%2C%20Toledo%2C%20OH%2043609&layer=c	09:07	09:27	274	25	1	25 cu ft
100 Arlington Elementary	707 Woodsdale Ave, Toledo, OH 43609	Stop 7 of 12. Arrive 09:29, depart 09:49 - 20 min service. 21 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 229 meals at 75% of 305 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone (419) 671-2550. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=707%20Woodsdale%20Ave%2C%20Toledo%2C%20OH%2043609&basemap=satellite	https://www.google.com/maps?q=707%20Woodsdale%20Ave%2C%20Toledo%2C%20OH%2043609&layer=c	09:29	09:49	229	21	1	21 cu ft
102 Beverly Elementary	3548 S Detroit Ave, Toledo, OH 43614	Stop 10 of 12. Arrive 10:35, depart 10:55 - 20 min service. 37 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 418 meals at 75% of 557 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone (419) 671-2600. Largest enrollment of the twelve. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=3548%20S%20Detroit%20Ave%2C%20Toledo%2C%20OH%2043614&basemap=satellite	https://www.google.com/maps?q=3548%20S%20Detroit%20Ave%2C%20Toledo%2C%20OH%2043614&layer=c	10:35	10:55	418	37	1	37 cu ft
113 Crossgate Preschool Center	3901 Shadylawn Dr, Toledo, OH 43614	Stop 12 of 12. Arrive 11:19, depart 11:39 - 20 min service. 22 cases on 1 dedicated pallet, school-specific: do not break down or cross-load. Est 246 meals at 75% of 328 enrolled. Hamburger meal only - no milk, no secondary items. Carry REFRIGERATED not frozen - product is thawing for Thursday 8/27 service. POD photo required. Site phone (419) 385-4571. TPS lists it as Crossgates - preschool, expect different receiving than K-8. SITE SURVEY OUTSTANDING: dock vs ground level, approach and truck turnaround, stairs, liftgate need, receiving door and kitchen contact all unconfirmed.	https://www.google.com/maps/search/?api=1&query=3901%20Shadylawn%20Dr%2C%20Toledo%2C%20OH%2043614&basemap=satellite	https://www.google.com/maps?q=3901%20Shadylawn%20Dr%2C%20Toledo%2C%20OH%2043614&layer=c	11:19	11:39	246	22	1	22 cu ft
